timestamp,machine_id,status,cycle_time_ms,output_count,defect_flag
2026-03-08 04:07:56,M02,Maintenance,1766,1,False
2026-05-31 01:06:37,M03,Running,2368,11,False
2026-05-21 04:58:45,M07,Running,1583,8,False
2026-05-05 15:33:39,M07,Running,2198,11,False
2025-10-27 20:23:32,M03,Running,1512,2,False
2026-05-14 14:41:40,M09,Running,1060,12,False
2025-12-09 18:56:06,M01,Running,1411,8,False
2026-01-12 16:24:22,M09,Running,1576,14,False
2026-04-28 14:06:17,M08,Running,1364,4,False
2026-04-20 02:49:52,M02,Running,2152,7,False
2026-01-02 18:03:35,M01,Running,937,2,False
2026-01-27 20:55:02,M08,Running,2240,14,True
2026-07-26 02:32:22,M01,Running,1279,9,False
2026-02-27 17:41:06,M01,Running,1392,4,False
2026-02-02 01:41:04,M10,Running,2024,13,False
2025-09-26 17:22:10,M06,Running,1093,11,False
2025-11-15 00:10:35,M07,Running,924,9,False
2025-11-05 23:51:34,M03,Running,1674,9,False
2025-09-04 14:17:35,M06,Idle,2174,7,False
2025-12-20 00:42:52,M06,Running,1636,3,False
2025-08-18 21:34:55,M03,Running,1769,4,False
2026-03-27 04:57:47,M05,Idle,1095,13,False
2026-03-13 20:27:05,M01,Running,1653,9,False
2025-11-08 02:21:12,M07,Running,1216,6,False
2026-03-27 06:11:16,M08,Idle,989,9,False
2025-11-04 06:06:12,M04,Running,1572,11,False
2025-08-13 12:33:07,M01,Idle,1185,13,False
2025-09-07 07:13:55,M09,Running,1227,14,False
2026-05-12 15:05:03,M05,Maintenance,831,4,False
2026-04-12 19:50:04,M02,Running,2344,8,False
2025-09-02 14:16:18,M10,Running,1612,15,False
2025-11-07 15:25:14,M06,Running,1579,8,False
2025-09-05 21:44:42,M06,Running,1536,9,False
2026-07-28 08:39:17,M08,Running,2279,8,False
2025-08-22 22:19:06,M06,Idle,1559,6,False
2026-07-10 13:54:40,M10,Idle,2318,3,True
2025-12-17 01:20:43,M09,Idle,1986,12,False
2025-09-07 05:58:01,M03,Running,1271,7,False
2026-02-26 09:48:39,M04,Running,2140,11,False
2025-11-11 03:53:33,M08,Maintenance,2114,12,False
2025-11-26 21:07:29,M03,Running,1521,3,False
2026-04-27 12:51:12,M09,Running,1910,11,False
2026-02-15 05:55:10,M09,Running,952,14,False
2025-11-01 22:21:37,M01,Running,2091,4,False
2026-03-08 03:33:11,M03,Running,1835,8,False
2025-10-01 02:45:51,M10,Running,2062,15,False
2026-05-18 15:39:47,M08,Running,1889,9,False
2026-08-09 01:09:11,M01,Running,1362,9,False
2026-07-19 09:56:05,M01,Running,2229,11,False
2026-03-20 12:02:09,M03,Running,997,9,False
2026-03-22 12:12:37,M04,Running,1316,14,False
2026-02-10 07:08:30,M07,Running,1631,8,False
2025-11-13 02:25:37,M04,Running,2495,14,False
2026-06-11 10:42:42,M01,Running,1576,7,False
2026-02-10 09:57:21,M01,Running,2239,3,False
2026-06-20 07:56:46,M07,Running,1478,10,False
2026-01-15 19:36:08,M02,Idle,887,4,False
2025-10-23 16:16:39,M10,Running,895,15,False
2025-09-16 08:42:31,M05,Idle,1954,11,True
2025-09-17 08:59:21,M06,Running,1224,10,False
2026-04-23 15:41:34,M07,Idle,1412,3,False
2026-01-25 03:13:00,M10,Idle,1596,11,False
2025-12-26 07:49:16,M06,Running,2314,3,False
2026-01-22 05:34:03,M02,Running,1508,1,False
2026-01-17 09:16:46,M04,Idle,1497,10,False
2026-02-08 02:30:50,M10,Running,2384,6,True
2026-07-12 05:04:14,M05,Running,1722,8,False
2026-05-20 21:00:29,M09,Idle,1684,3,False
2025-08-31 18:26:26,M07,Running,2066,5,False
2026-04-29 05:44:27,M02,Running,1115,7,False
2026-04-21 12:10:30,M03,Running,1448,6,False
2026-04-18 16:21:37,M01,Idle,1710,6,False
2025-09-17 22:50:58,M02,Running,1183,7,False
2025-09-03 06:28:46,M09,Running,1011,1,False
2026-01-14 02:13:51,M09,Running,2024,13,False
2026-05-20 12:58:16,M07,Running,1647,7,False
2025-12-20 12:03:29,M09,Idle,1297,10,False
2026-06-17 15:35:29,M07,Running,1350,5,False
2026-07-11 08:53:55,M03,Running,1690,5,False
2025-09-22 03:59:23,M08,Running,1539,5,False
2025-11-15 07:10:25,M08,Running,1200,8,False
2025-10-24 03:16:39,M05,Running,1610,6,False
2025-10-23 14:24:14,M07,Idle,1474,8,False
2026-03-07 00:04:26,M10,Running,1456,10,False
2026-01-31 22:54:35,M04,Running,1163,7,False
2025-10-04 04:07:20,M05,Running,2096,8,False
2026-01-21 13:45:01,M04,Running,1374,14,False
2025-10-20 23:45:39,M06,Running,1954,4,False
2025-11-26 21:45:27,M09,Running,2372,9,True
2026-02-06 09:32:05,M08,Idle,1229,8,False
2025-11-15 17:53:36,M02,Idle,2429,13,False
2026-07-16 08:19:42,M08,Running,1420,4,False
2026-08-04 06:59:15,M03,Running,2416,7,False
2025-09-09 00:10:00,M10,Running,1620,9,False
2026-01-29 19:48:23,M07,Running,2419,6,False
2026-06-20 12:50:30,M09,Running,974,2,False
2026-07-11 05:53:02,M06,Running,2054,1,False
2026-07-09 03:43:05,M07,Maintenance,1479,13,False
2026-03-12 10:55:56,M01,Running,1254,9,False
2025-09-17 18:06:14,M09,Running,1978,4,False
2025-08-30 09:02:45,M07,Running,2191,10,False
2026-04-20 23:57:34,M03,Running,850,8,False
2026-03-08 16:10:24,M07,Idle,975,2,False
2026-07-01 09:52:13,M03,Running,1502,8,False
2025-08-16 11:04:54,M09,Running,1775,2,False
2025-09-15 22:48:02,M08,Running,1414,1,False
2026-08-05 11:53:40,M02,Running,1502,11,False
2026-05-30 09:16:05,M03,Idle,2316,4,False
2026-07-06 07:56:46,M09,Running,1946,7,False
2025-11-10 12:44:42,M04,Running,2089,3,False
2025-10-14 07:39:37,M07,Running,2310,10,False
2026-01-15 13:34:55,M08,Running,1596,1,False
2026-02-15 08:01:55,M04,Running,2241,13,False
2026-02-13 16:06:51,M10,Running,1899,3,False
2025-11-01 17:47:52,M04,Running,1337,11,False
2026-07-12 12:39:15,M09,Maintenance,1441,10,False
2026-01-13 11:29:42,M07,Running,1512,6,False
2026-07-27 04:54:20,M10,Running,2179,12,False
2025-09-02 12:03:00,M10,Running,2176,3,False
2025-10-13 16:03:28,M04,Running,1174,6,False
2026-01-04 21:48:50,M09,Running,2021,3,False
2025-08-11 13:37:05,M07,Running,2101,9,False
2026-01-09 08:31:23,M03,Running,1802,5,False
2025-11-21 17:24:00,M06,Idle,2068,1,False
2026-08-05 13:18:10,M01,Running,1199,14,False
2026-06-11 05:35:46,M09,Running,1813,7,False
2026-06-11 15:27:52,M07,Running,1709,8,False
2026-02-03 10:30:50,M10,Running,2358,4,False
2025-11-29 12:14:38,M05,Running,1391,3,False
2026-01-22 00:14:38,M10,Running,2368,8,False
2026-05-08 06:13:55,M02,Running,1348,13,False
2026-05-21 10:19:53,M06,Running,2349,1,False
2026-06-10 22:59:14,M08,Running,1670,2,False
2026-03-14 13:39:53,M04,Running,866,8,False
2026-04-24 18:36:58,M02,Running,1040,13,False
2026-05-16 17:34:44,M04,Idle,2004,12,False
2026-02-15 17:38:05,M10,Running,1139,10,False
2025-10-09 20:20:22,M04,Idle,2449,1,False
2025-10-23 11:30:18,M09,Running,1903,3,False
2025-12-03 23:02:45,M05,Running,1347,14,False
2025-11-03 06:38:52,M02,Running,2336,13,False
2025-09-02 10:37:56,M01,Maintenance,2143,3,False
2026-03-23 15:52:48,M03,Running,2256,6,False
2026-05-23 11:05:46,M07,Running,1982,11,False
2026-03-09 07:09:15,M07,Running,954,11,False
2025-09-03 09:41:39,M02,Running,2335,5,False
2026-05-28 05:09:58,M06,Running,1799,6,False
2025-12-10 12:32:14,M02,Running,1738,11,False
2025-09-01 22:20:51,M06,Idle,2429,9,False
2025-08-30 04:53:20,M07,Idle,1813,5,False
2026-03-25 14:27:30,M05,Running,1983,3,False
2026-02-11 21:31:10,M08,Running,2197,13,True
2026-02-22 00:26:01,M02,Running,1741,1,False
2026-08-02 18:50:15,M03,Running,801,7,False
2026-07-07 21:27:14,M03,Idle,1418,3,False
2026-03-04 23:58:58,M05,Running,1538,5,False
2025-10-10 20:54:28,M03,Running,2081,5,False
2025-09-01 19:41:04,M04,Running,986,12,False
2026-02-23 22:49:59,M04,Running,1071,10,False
2025-09-10 20:13:17,M08,Running,2224,6,False
2026-07-07 08:36:58,M07,Running,1778,2,False
2025-10-21 21:32:34,M02,Running,1009,2,False
2025-09-06 08:11:37,M05,Running,2384,14,False
2026-03-29 19:39:28,M03,Running,2186,3,False
2025-09-06 02:58:11,M10,Running,2131,3,False
2026-04-29 22:57:56,M04,Running,1110,15,False
2026-07-11 10:15:56,M08,Idle,977,15,False
2025-11-10 01:47:16,M02,Running,1586,6,False
2026-01-14 12:59:22,M06,Running,1307,5,False
2025-09-26 06:57:10,M04,Running,2028,12,False
2026-07-22 11:36:28,M01,Idle,2148,15,False
2026-03-19 23:17:17,M09,Running,1186,12,False
2025-11-14 08:25:19,M01,Running,2425,4,False
2026-03-23 13:26:43,M02,Running,2106,10,False
2026-03-29 14:50:55,M01,Maintenance,1448,3,False
2025-08-26 03:56:51,M10,Running,1918,11,False
2026-04-08 06:34:57,M08,Maintenance,2377,2,True
2025-09-11 13:40:09,M02,Running,1241,1,False
2026-01-20 12:59:16,M07,Running,2087,12,False
2026-04-23 00:41:26,M07,Running,1623,2,False
2026-03-25 09:44:55,M09,Running,1368,2,False
2026-03-18 05:49:31,M09,Idle,2454,3,False
2026-03-01 18:13:00,M07,Running,2363,14,False
2025-12-11 14:18:33,M02,Running,1695,12,False
2026-08-08 17:37:20,M04,Running,976,15,False
2025-11-20 00:02:27,M08,Running,912,5,False
2025-10-29 01:21:44,M03,Running,2249,3,False
2026-04-27 19:49:37,M03,Running,1510,9,False
2026-05-15 20:55:12,M05,Running,1059,12,False
2025-12-10 17:56:04,M05,Running,1041,13,False
2025-11-11 10:14:34,M06,Idle,1357,9,False
2025-11-21 21:14:07,M10,Running,1816,8,False
2026-01-11 10:31:12,M01,Running,1960,3,False
2025-09-30 13:24:09,M05,Running,1975,11,False
2026-04-28 14:08:06,M04,Running,805,1,False
2026-04-18 10:01:55,M01,Running,1766,6,False
2025-12-05 05:42:14,M03,Running,872,9,False
2026-02-04 07:10:13,M07,Running,1308,7,False
2025-12-11 12:30:49,M06,Running,959,10,False
2026-08-06 12:36:25,M09,Running,907,3,False
2026-05-29 17:24:48,M09,Maintenance,1621,2,False
2026-08-09 03:12:15,M05,Running,1436,6,False
2025-09-07 21:40:46,M08,Running,1210,5,False
2025-08-14 08:21:17,M05,Running,1296,8,False
2026-02-04 17:03:33,M08,Maintenance,2389,4,False
2026-04-08 23:09:08,M09,Running,1302,3,True
2026-03-17 09:00:34,M07,Running,1909,6,False
2025-09-18 13:25:17,M01,Maintenance,802,13,False
